0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	3	0
0	2	0
0	0	0
0	1	0
1	0	0
0	1	0
1	1	0
1	1	0
2	0	0
2	0	0
3	1	0
7	0	0
32	0	0
62	1	0
56	0	0
40	5	0
36	5	0
21	3	0
9	11	0
26	1	0
36	4	0
25	17	0
30	58	0
24	55	0
17	60	0
14	32	1
5	7	0
4	3	0
2	1	0
10	0	0
6	1	0
4	0	0
3	1	0
9	0	0
6	0	0
7	0	0
2	0	0
6	0	0
8	0	0
8	0	0
7	0	0
6	0	0
3	0	0
13	0	0
13	0	0
16	0	0
7	0	0
4	0	0
0	0	1
3	0	0
2	0	0
1	0	1
2	0	0
1	0	0
0	0	0
1	0	0
0	0	0
1	0	0
2	0	0
1	0	0
1	0	0
0	0	0
0	0	0
2	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
