            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING 
       2839.97400   2839.97021   2838.57216    132.88100      0.00000     10.45694      0.26799      0.38062      0.40139      0.23223      0.21357      0.36905      0.44009      0.42077      0.14741      0.19112      0.26212      0.23420      0.24862      0.27851      0.24260      0.30000      0.28739      0.30000      0.50000      0.46176      0.31804      0.47268      0.30561      0.30586      0.29251      1.05911     -0.03205    130.00000      0.66581      -999.25      -999.25   4155.00050      1.00000      -999.25      0.16666      0.19374      0.24763      0.24236      0.02458      0.00499      0.05972      0.06819      0.01944
       2840.12640   2840.13086   2838.72433    131.65370      0.00000     10.35639      0.26795      0.38007      0.40120      0.23237      0.21373      0.36906      0.44007      0.42076      0.14741      0.19112      0.26215      0.23415      0.24866      0.27864      0.24244      0.30000      0.28740      0.30000      0.50000      0.46177      0.31623      0.47273      0.30740      0.30614      0.29341      1.06015     -0.03166    130.00000      0.67187      -999.25      -999.25   4153.99974      1.00000      -999.25      0.16847      0.19570      0.25112      0.24638      0.05847      0.00500      0.06695      0.07611      0.02333
       2840.27880   2840.27222   2838.87651    130.23380      0.00000     10.40666      0.26794      0.38017      0.40150      0.23242      0.21369      0.36905      0.44011      0.42076      0.14741      0.19113      0.26213      0.23412      0.24856      0.27874      0.24288      0.30000      0.28744      0.30000      0.50000      0.46178      0.31682      0.47162      0.30683      0.30635      0.29183      1.06054     -0.03160    111.01140      0.69205      -999.25      -999.25   4153.99974      1.00000      -999.25      0.17070      0.19764      0.25445      0.25001      0.06584      0.00529      0.07500      0.08750      0.05736
       2840.43120   2840.42603   2839.02868    129.06510      0.00000     10.00447      0.26811      0.38087      0.40139      0.23244      0.21380      0.36901      0.44011      0.42075      0.14741      0.19112      0.26198      0.23410      0.24869      0.27904      0.24287      0.30000      0.28744      0.30000      0.50000      0.46177      0.31752      0.47262      0.30682      0.30652      0.29283      1.06160     -0.03050    108.16780      0.71195      -999.25      -999.25   4153.00043      1.00000      -999.25      0.17292      0.20014      0.25750      0.25320      0.07375      0.00542      0.08625      0.08722      0.06459
       2840.58360   2840.59082   2839.18086    128.94080      0.00000     10.10502      0.26788      0.38049      0.40146      0.23227      0.21359      0.36905      0.44008      0.42076      0.14741      0.19112      0.26206      0.23412      0.24878      0.27958      0.24341      0.30000      0.28742      0.30000      0.50000      0.46179      0.31747      0.47216      0.30752      0.30604      0.29280      1.05842     -0.03387    108.13620      0.62368      -999.25      -999.25   4153.00043      1.00000      -999.25      0.17473      0.20264      0.26069      0.25611      0.08486      0.00528      0.08583      0.09389      0.07236
       2840.73600   2840.73242   2839.33303    127.07860      0.00000      9.95420      0.26797      0.38049      0.40123      0.23245      0.21385      0.36903      0.44011      0.42076      0.14741      0.19112      0.26191      0.23403      0.24873      0.27952      0.24324      0.30000      0.28739      0.30000      0.50000      0.46177      0.31758      0.47248      0.30627      0.30613      0.29321      1.05613     -0.03615    116.09230      0.56921      -999.25      -999.25   4155.00050      1.00000      -999.25      0.17695      0.20527      0.26403      0.25944      0.08458      0.00542      0.09264      0.09736      0.08362
       2840.88840   2840.88770   2839.48521    124.93550      0.00000     10.00447      0.26796      0.38025      0.40134      0.23249      0.21383      0.36905      0.44006      0.42075      0.14741      0.19112      0.26218      0.23422      0.24879      0.27887      0.24256      0.30000      0.28742      0.30000      0.50000      0.46179      0.31715      0.47147      0.30676      0.30598      0.29277      1.05741     -0.03459    101.69590      0.60460      -999.25      -999.25   4153.99974      1.00000      -999.25      0.17888      0.20805      0.26777      0.26263      0.09124      0.00541      0.09596      0.09930      0.08319
       2841.04080   2841.04517   2839.63738    122.79620      0.00000      9.75310      0.26788      0.38044      0.40156      0.23244      0.21373      0.36903      0.44012      0.42076      0.14741      0.19112      0.26223      0.23415      0.24868      0.27875      0.24251      0.30000      0.28742      0.30000      0.50000      0.46177      0.31739      0.47172      0.30679      0.30647      0.29296      1.06008     -0.03151    130.00000      0.67536      -999.25      -999.25   4153.99974      1.00000      -999.25      0.18097      0.21083      0.27152      0.26639      0.09458      0.00528      0.09792      0.10222      0.08986
       2841.19320   2841.18921   2839.78955    120.71980      0.00000     11.31159      0.26804      0.38100      0.40139      0.23234      0.21372      0.36905      0.44009      0.42076      0.14741      0.19112      0.26191      0.23416      0.24865      0.27879      0.24289      0.30000      0.28742      0.30000      0.50000      0.46176      0.31710      0.47169      0.30694      0.30571      0.29322      1.06155     -0.03047    130.00000      0.69172      -999.25      -999.25   4155.00050      1.00000      -999.25      0.18347      0.21403      0.27500      0.27027      0.09667      0.00541      0.10097      0.10555      0.09333
       2841.34560   2841.34619   2839.94173    119.03300      0.00000     10.96973      0.26805      0.38099      0.40146      0.23229      0.21363      0.36904      0.44012      0.42077      0.14741      0.19113      0.26208      0.23411      0.24859      0.27886      0.24290      0.30000      0.28738      0.30000      0.50000      0.46177      0.31791      0.47255      0.30651      0.30653      0.29295      1.06165     -0.03194    130.00000      0.66243      -999.25      -999.25   4155.99981      1.00000      -999.25      0.18528      0.21722      0.27820      0.27361      0.09958      0.00610      0.10417      0.10944      0.09528
