            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING
       1846.63080   1846.61890   1846.57299    108.53150      0.00000      8.89875      0.27857      0.37862      0.37375      0.24689      0.20982      0.32828      0.38594      0.37308      0.14757      0.19174      0.27328      0.24913      0.26312      0.28654      0.25760      0.30000      0.29773      0.30000      0.50000      0.42256      0.34050      0.43711      0.29987      0.30853      0.29186      1.06123     -0.03117    101.59690      0.19667      -999.25      -999.25   2682.99945      3.00000      -999.25      0.22514      0.29403      0.41181      0.40193      0.01159      0.00278      0.01222      0.01305      0.01097
       1846.78320   1846.77637   1846.72538    104.88330      0.00000      9.03281      0.27871      0.37852      0.37320      0.24673      0.20984      0.32827      0.38593      0.37307      0.14757      0.19174      0.27341      0.24907      0.26303      0.28664      0.25779      0.30000      0.29771      0.30000      0.50000      0.42257      0.34094      0.43772      0.29981      0.30821      0.29207      1.06415     -0.02829    102.13080      0.25228      -999.25      -999.25   2684.00021      3.00000      -999.25      0.23319      0.30263      0.42111      0.41097      0.01139      0.00263      0.01222      0.01319      0.01075
       1846.93560   1846.92371   1846.87777    103.12390      0.00000      8.81466      0.27857      0.37838      0.37349      0.24682      0.20983      0.32828      0.38589      0.37307      0.14757      0.19174      0.27313      0.24910      0.26304      0.28610      0.25704      0.30000      0.29773      0.30000      0.50000      0.42256      0.34121      0.43803      0.29952      0.30792      0.29225      1.06504     -0.02798     99.31670      0.26534      -999.25      -999.25   2684.99952      3.00000      -999.25      0.24098      0.31265      0.43111      0.42042      0.01153      0.00279      0.01251      0.01362      0.01070
       1847.08800   1847.06421   1847.03015    132.66020      0.00000      8.48878      0.27862      0.37865      0.37336      0.24669      0.20980      0.32828      0.38592      0.37308      0.14757      0.19174      0.27313      0.24907      0.26304      0.28645      0.25763      0.30000      0.29772      0.30000      0.50000      0.42257      0.34107      0.43791      0.29916      0.30700      0.29207      1.06489     -0.02829    106.42150      0.26712      -999.25      -999.25   2684.99952      3.00000      -999.25      0.25048      0.32074      0.44338      0.43046      0.01186      0.00297      0.01297      0.01422      0.01088
       1847.24040   1847.23938   1847.18254    131.56600      0.00000      8.34634      0.27875      0.37871      0.37318      0.24674      0.20986      0.32828      0.38590      0.37307      0.14757      0.19174      0.27312      0.24905      0.26312      0.28670      0.25773      0.30000      0.29773      0.30000      0.50000      0.42257      0.34040      0.43799      0.30462      0.30761      0.29181      1.06314     -0.02988    115.58390      0.23493      -999.25      -999.25   2684.99952      3.00000      -999.25      0.25818      0.32805      0.45415      0.44277      0.01236      0.00332      0.01361      0.05402      0.01124
       1847.39280   1847.38354   1847.33492    128.55980      0.00000      8.54294      0.27849      0.37911      0.37359      0.24666      0.20976      0.32827      0.38593      0.37307      0.14757      0.19174      0.27342      0.24914      0.26283      0.28580      0.25714      0.30000      0.29771      0.30000      0.50000      0.42258      0.33890      0.43807      0.29575      0.31083      0.29154      1.06295     -0.02962     99.06393      0.23487      -999.25      -999.25   2684.99952      3.00000      -999.25      0.26570      0.33528      0.46431      0.45347      0.01292      0.00362      0.05334      0.06584      0.01168
       1847.54520   1847.54175   1847.48731    126.48890      0.00000      9.81146      0.27869      0.37837      0.37333      0.24672      0.20979      0.32827      0.38594      0.37307      0.14757      0.19174      0.27317      0.24903      0.26311      0.28671      0.25770      0.30000      0.29773      0.30000      0.50000      0.42259      0.33979      0.43807      0.29301      0.31220      0.29013      1.06446     -0.02873    107.25870      0.26893      -999.25      -999.25   2682.99945      3.00000      -999.25      0.27208      0.34305      0.47527      0.46347      0.05250      0.00374      0.06500      0.07249      0.01208
       1847.69760   1847.69226   1847.63969    128.78280      0.00000     10.16966      0.27855      0.37783      0.37366      0.24692      0.20982      0.32827      0.38593      0.37307      0.14757      0.19174      0.27321      0.24905      0.26310      0.28679      0.25792      0.30000      0.29772      0.30000      0.50000      0.42258      0.34281      0.43906      0.30295      0.29671      0.28818      1.06441     -0.02825    113.11320      0.27346      -999.25      -999.25   2684.00021      3.00000      -999.25      0.27972      0.35166      0.48653      0.47445      0.06417      0.00367      0.07167      0.07917      0.05167
       1847.85000   1847.84119   1847.79208    138.12680      0.00000      9.48498      0.27844      0.37780      0.37349      0.24675      0.20978      0.32827      0.38592      0.37307      0.14757      0.19174      0.27331      0.24914      0.26307      0.28638      0.25748      0.30000      0.29773      0.30000      0.50000      0.42258      0.34448      0.44022      0.30170      0.30385      0.29363      1.06393     -0.02927    111.33260      0.24735      -999.25      -999.25   2684.99952      3.00000      -999.25      0.28792      0.35931      0.49445      0.48556      0.07070      0.00348      0.07820      0.08681      0.06320
       1848.00240   1847.99243   1847.94447    150.21230      0.00000      8.87960      0.27876      0.37895      0.37339      0.24678      0.20984      0.32827      0.38596      0.37307      0.14757      0.19174      0.27339      0.24911      0.26294      0.28599      0.25704      0.30000      0.29773      0.30000      0.50000      0.42257      0.32784      0.44022      0.29718      0.30571      0.29554      1.06382     -0.02921    108.32930      0.23043      -999.25      -999.25   2686.00028      3.00000      -999.25      0.29637      0.36652      0.50138      0.49347      0.07721      0.00333      0.08582      0.09416      0.06971
