TVDepth(m)	Sgh	morph
1998.8784	0	n
1999.0308	0	n
1999.1832	0	n
1999.3356	0	n
1999.488	0	n
1999.6404	0	n
1999.7928	0	n
1999.9452	0	n
2000.0976	0	n
2000.25	0	n
2000.4024	0	n
2000.5548	0	n
2000.7072	0.11916	F
2000.8596	0.13661	F
2001.012	0	n
2001.1644	0	n
2001.3168	0	n
2001.4692	0.1458	F
2001.6216	0.1517	F
2001.774	0.16017	F
2001.9264	0.17109	F
2002.0788	0.11366	F
2002.2312	0.13389	F
2002.3836	0.13429	F
2002.536	0.15329	F
2002.6884	0.17054	F
2002.8408	0.15862	F
2002.9932	0.13839	F
2003.1456	0.14236	F
2003.298	0.15568	F
2003.4504	0.13643	F
2003.6028	0.14617	F
2003.7552	0.16572	F
2003.9076	0	n
2004.06	0	n
2004.2124	0.09984	n
2004.3648	0.13877	F
2004.5172	0.15446	F
2004.6696	0.10301	F
2004.822	0.15686	F
2004.9744	0.15424	F
2005.1268	0.1043	F
2005.2792	0.11159	F
2005.4316	0.14045	F
2005.584	0.1317	F
2005.7364	0	n
2005.8888	0	n
2006.0412	0	n
2006.1936	0	n
2006.346	0	n
2006.4984	0	n
2006.6508	0	n
2006.8032	0	n
2006.9556	0	n
2007.108	0	n
2007.2604	0	n
2007.4128	0	n
2007.5652	0	n
2007.7176	0	n
2007.87	0	n
2008.0224	0	n
2008.1748	0	n
2008.3272	0.16382	F
2008.4796	0.15727	F
2008.632	0.24254	F
2008.7844	0.34102	F
2008.9368	0.40718	F
2009.0892	0.39205	F
2009.2416	0.38972	F
2009.394	0.38371	F
2009.5464	0.3665	F
2009.6988	0.32788	F
2009.8512	0.39052	F
2010.0036	0.35599	F
2010.156	0.35544	F
2010.3084	0.32485	F
2010.4608	0.2191	F
2010.6132	0.07485	F
2010.7656	0.12575	F
2010.918	0	n
2011.0704	0	n
2011.2228	0.15411	F
2011.3752	0.12409	F
2011.5276	0.31106	F
2011.68	0.36429	F
2011.8324	0.30024	F
2011.9848	0.27987	F
2012.1372	0.24548	F
2012.2896	0.2577	F
2012.442	0.31023	F
2012.5944	0.31014	F
2012.7468	0.24443	F
2012.8992	0.21134	F
2013.0516	0.23311	F
2013.204	0.24915	F
2013.3564	0.25144	F
2013.5088	0.39942	F
2013.6612	0.36399	F
2013.8136	0.34175	F
2013.966	0.34769	F
2014.1184	0.34729	F
2014.2708	0.37032	F
2014.4232	0.32347	F
2014.5756	0.34257	F
2014.728	0.34085	F
2014.8804	0.33731	F
2015.0328	0.2973	F
2015.1852	0.31193	F
2015.3376	0.31257	F
2015.49	0.29033	F
2015.6424	0.32205	F
2015.7948	0.37128	F
2015.9472	0.38601	F
2016.0996	0.40685	F
2016.252	0.39077	F
2016.4044	0.38904	F
2016.5568	0.33047	F
2016.7092	0.32492	F
2016.8616	0.32255	F
2017.014	0.32632	F
2017.1664	0.33259	F
2017.3188	0.34339	F
2017.4712	0.34159	F
2017.6236	0.38411	F
2017.776	0.37666	F
2017.9284	0.40629	F
2018.0808	0.34803	F
2018.2332	0.32468	F
2018.3856	0.34175	F
2018.538	0.28758	F
2018.6904	0.2764	F
2018.8428	0.28528	F
2018.9952	0.32522	F
2019.1476	0.3118	F
2019.3	0.3246	F
2019.4524	0.36751	F
2019.6048	0.32519	F
2019.7572	0.34217	F
2019.9096	0.34215	F
2020.062	0.34524	F
2020.2144	0.39811	F
2020.3668	0.32454	F
2020.5192	0.32318	F
2020.6716	0.3302	F
2020.824	0.32956	F
2020.9764	0.33985	F
