TVDepth(m)	Sgh	morph
1964.8932	0.41707	F
1965.0456	0.32613	F
1965.198	0.29125	F
1965.3504	0.31099	F
1965.5028	0.39749	F
1965.6552	0.45268	F
1965.8076	0.44673	F
1965.96	0.43124	F
1966.1124	0.38615	F
1966.2648	0.29787	F
1966.4172	0.30086	F
1966.5696	0.29767	F
1966.722	0.34497	F
1966.8744	0.33335	F
1967.0268	0.40996	F
1967.1792	0.39587	F
1967.3316	0.40847	F
1967.484	0.39802	F
1967.6364	0.35065	F
1967.7888	0.35629	F
1967.9412	0.33863	F
1968.0936	0.33946	F
1968.246	0.33972	F
1968.3984	0.29366	F
1968.5508	0.26983	F
1968.7032	0.27863	F
1968.8556	0.27817	F
1969.008	0.2664	F
1969.1604	0.20956	F
1969.3128	0.20324	F
1969.4652	0.15427	F
1969.6176	0.15653	F
1969.77	0.15647	F
1969.9224	0.13923	F
1970.0748	0.19199	F
1970.2272	0.20978	F
1970.3796	0.22378	F
1970.532	0.21625	F
1970.6844	0.18037	F
1970.8368	0	n
1970.9892	0	n
1971.1416	0	n
1971.294	0	n
1971.4464	0	n
1971.5988	0	n
1971.7512	0	n
1971.9036	0	n
1972.056	0	n
1972.2084	0	n
1972.3608	0	n
1972.5132	0	n
1972.6656	0	n
1972.818	0	n
1972.9704	0	n
1973.1228	0	n
1973.2752	0	n
1973.4276	0	n
1973.58	0	n
1973.7324	0	n
1973.8848	0	n
1974.0372	0	n
1974.1896	0	n
1974.342	0	n
1974.4944	0	n
1974.6468	0	n
1974.7992	0	n
1974.9516	0	n
1975.104	0	n
1975.2564	0	n
1975.4088	0	n
1975.5612	0	n
1975.7136	0	n
1975.866	0	n
1976.0184	0	n
1976.1708	0	n
1976.3232	0	n
1976.4756	0	n
1976.628	0	n
1976.7804	0	n
1976.9328	0	n
1977.0852	0	n
1977.2376	0	n
1977.39	0	n
1977.5424	0	n
1977.6948	0	n
1977.8472	0	n
1977.9996	0	n
1978.152	0	n
1978.3044	0	n
1978.4568	0	n
1978.6092	0	n
1978.7616	0	n
1978.914	0	n
1979.0664	0	n
1979.2188	0	n
1979.3712	0	n
1979.5236	0	n
1979.676	0	n
1979.8284	0	n
1979.9808	0	n
1980.1332	0	n
1980.2856	0	n
1980.438	0	n
1980.5904	0	n
1980.7428	0	n
1980.8952	0	n
1981.0476	0	n
1981.2	0	n
1981.3524	0	n
1981.5048	0	n
1981.6572	0	n
1981.8096	0	n
1981.962	0	n
1982.1144	0	n
1982.2668	0	n
1982.4192	0	n
1982.5716	0	n
1982.724	0	n
1982.8764	0	n
1983.0288	0	n
1983.1812	0	n
1983.3336	0	n
1983.486	0	n
1983.6384	0	n
1983.7908	0	n
1983.9432	0	n
1984.0956	0	n
1984.248	0	n
1984.4004	0	n
1984.5528	0	n
1984.7052	0	n
1984.8576	0	n
1985.01	0	n
1985.1624	0	n
1985.3148	0	n
1985.4672	0	n
1985.6196	0	n
1985.772	0	n
1985.9244	0	n
1986.0768	0	n
1986.2292	0	n
1986.3816	0	n
1986.534	0	n
1986.6864	0	n
1986.8388	0	n
1986.9912	0	n
1987.1436	0	n
1987.296	0	n
1987.4484	0	n
1987.6008	0	n
1987.7532	0	n
1987.9056	0	n
1988.058	0	n
1988.2104	0	n
1988.3628	0	n
1988.5152	0	n
1988.6676	0	n
1988.82	0	n
1988.9724	0	n
1989.1248	0	n
1989.2772	0	n
1989.4296	0	n
1989.582	0	n
1989.7344	0	n
1989.8868	0	n
1990.0392	0	n
1990.1916	0	n
1990.344	0	n
1990.4964	0	n
1990.6488	0	n
1990.8012	0	n
1990.9536	0	n
1991.106	0	n
1991.2584	0	n
1991.4108	0	n
1991.5632	0	n
1991.7156	0	n
1991.868	0	n
1992.0204	0	n
1992.1728	0	n
1992.3252	0	n
1992.4776	0	n
1992.63	0	n
1992.7824	0	n
1992.9348	0	n
1993.0872	0	n
1993.2396	0	n
1993.392	0	n
1993.5444	0	n
1993.6968	0	n
1993.8492	0	n
1994.0016	0	n
1994.154	0	n
1994.3064	0	n
1994.4588	0	n
1994.6112	0	n
1994.7636	0	n
1994.916	0	n
1995.0684	0	n
1995.2208	0	n
1995.3732	0	n
1995.5256	0	n
1995.678	0	n
1995.8304	0	n
1995.9828	0	n
1996.1352	0	n
1996.2876	0	n
1996.44	0.2749	P
1996.5924	0.27975	P
1996.7448	0.40135	P
1996.8972	0.32645	P
1997.0496	0.36135	P
1997.202	0.39415	P
1997.3544	0.39114	P
1997.5068	0.39668	P
1997.6592	0.51521	P
1997.8116	0.29842	P
1997.964	0.82601	P
1998.1164	0.68159	P
1998.2688	0.46958	P
1998.4212	0.53811	P
1998.5736	0.17101	P
1998.726	0.43707	P
1998.8784	0.5471	P
1999.0308	0	n
1999.1832	0	n
1999.3356	0	n
1999.488	0	n
1999.6404	0	n
1999.7928	0	n
1999.9452	0	n
2000.0976	0	n
2000.25	0	n
2000.4024	0	n
2000.5548	0	n
2000.7072	0	n
2000.8596	0	n
