0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
9	0	0
8	0	1
15	0	5
14	0	4
15	0	7
23	0	11
23	0	18
29	0	10
21	0	11
20	0	6
33	0	10
29	0	13
63	0	17
59	0	13
53	0	20
64	0	15
84	0	15
101	0	18
119	0	8
92	0	15
103	0	13
129	0	8
116	0	11
101	0	9
113	0	8
128	0	2
131	0	3
135	0	1
86	0	3
78	0	2
71	0	3
46	0	4
57	0	4
77	0	4
44	0	3
46	0	5
29	0	3
19	0	2
20	0	3
13	0	6
21	0	3
15	0	3
17	0	1
8	0	1
23	0	3
10	0	1
16	0	0
22	0	2
22	0	5
20	0	0
23	0	0
14	0	1
18	0	1
19	0	1
19	0	0
19	0	2
10	0	1
11	0	1
12	0	2
9	0	0
6	0	2
10	0	0
5	0	0
8	0	0
6	0	3
2	0	1
3	0	0
2	0	0
17	0	0
