TVDepth(m)	Sgh	morph
2773.0704	0	n
2773.2228	0	n
2773.3752	0	n
2773.5276	0	n
2773.68	0	n
2773.8324	0	n
2773.9848	0	n
2774.1372	0	n
2774.2896	0	n
2774.442	0	n
2774.5944	0	n
2774.7468	0	n
2774.8992	0	n
2775.0516	0	n
2775.204	0	n
2775.3564	0	n
2775.5088	0	n
2775.6612	0	n
2775.8136	0	n
2775.966	0	n
2776.1184	0	n
2776.2708	0	n
2776.4232	0	n
2776.5756	0	n
2776.728	0	n
2776.8804	0	n
2777.0328	0	n
2777.1852	0	n
2777.3376	0	n
2777.49	0	n
2777.6424	0	n
2777.7948	0	n
2777.9472	0	n
2778.0996	0.153	P
2778.252	0.23615	P
2778.4044	0.21483	P
2778.5568	0.23813	P
2778.7092	0.32052	P
2778.8616	0.22026	P
2779.014	0	n
2779.1664	0	n
2779.3188	0	n
2779.4712	0	n
2779.6236	0	n
2779.776	0	n
2779.9284	0	n
2780.0808	0	n
2780.2332	0	n
2780.3856	0	n
2780.538	0.3295	P
2780.6904	0.37018	P
2780.8428	0.31583	P
2780.9952	0.12578	P
2781.1476	0	n
2781.3	0	n
2781.4524	0	n
2781.6048	0	n
2781.7572	0	n
2781.9096	0	n
2782.062	0	n
2782.2144	0	n
2782.3668	0	n
2782.5192	0	n
2782.6716	0	n
2782.824	0	n
2782.9764	0	n
2783.1288	0	n
2783.2812	0	n
2783.4336	0	n
2783.586	0	n
2783.7384	0	n
2783.8908	0	n
2784.0432	0	n
2784.1956	0	n
2784.348	0	n
2784.5004	0	n
2784.6528	0	n
2784.8052	0	n
2784.9576	0	n
2785.11	0	n
2785.2624	0	n
2785.4148	0	n
2785.5672	0	n
2785.7196	0	n
2785.872	0	n
2786.0244	0	n
2786.1768	0	n
2786.3292	0	n
2786.4816	0	n
2786.634	0	n
2786.7864	0	n
2786.9388	0	n
2787.0912	0	n
2787.2436	0	n
2787.396	0	n
2787.5484	0	n
2787.7008	0	n
2787.8532	0	n
2788.0056	0	n
2788.158	0	n
2788.3104	0	n
2788.4628	0	n
2788.6152	0	n
2788.7676	0	n
2788.92	0	n
2789.0724	0	n
2789.2248	0	n
2789.3772	0	n
2789.5296	0	n
2789.682	0	n
2789.8344	0	n
2789.9868	0	n
2790.1392	0	n
2790.2916	0	n
2790.444	0	n
2790.5964	0	n
2790.7488	0	n
2790.9012	0	n
2791.0536	0	n
2791.206	0	n
2791.3584	0	n
2791.5108	0	n
2791.6632	0	n
2791.8156	0	n
2791.968	0	n
2792.1204	0	n
2792.2728	0	n
2792.4252	0	n
2792.5776	0	n
2792.73	0	n
2792.8824	0	n
2793.0348	0	n
2793.1872	0	n
2793.3396	0	n
2793.492	0	n
2793.6444	0	n
2793.7968	0	n
2793.9492	0	n
2794.1016	0	n
2794.254	0	n
2794.4064	0	n
2794.5588	0	n
2794.7112	0	n
2794.8636	0	n
2795.016	0	n
2795.1684	0	n
2795.3208	0	n
2795.4732	0	n
2795.6256	0	n
2795.778	0	n
2795.9304	0	n
2796.0828	0	n
2796.2352	0	n
2796.3876	0	n
2796.54	0	n
2796.6924	0	n
2796.8448	0	n
2796.9972	0	n
2797.1496	0	n
2797.302	0	n
2797.4544	0	n
2797.6068	0	n
2797.7592	0	n
2797.9116	0	n
2798.064	0	n
2798.2164	0	n
2798.3688	0	n
2798.5212	0	n
2798.6736	0	n
2798.826	0	n
2798.9784	0	n
2799.1308	0	n
2799.2832	0	n
2799.4356	0	n
2799.588	0	n
2799.7404	0	n
2799.8928	0	n
2800.0452	0	n
2800.1976	0	n
2800.35	0	n
2800.5024	0	n
2800.6548	0	n
2800.8072	0	n
2800.9596	0	n
2801.112	0	n
2801.2644	0	n
2801.4168	0	n
2801.5692	0	n
2801.7216	0	n
2801.874	0	n
2802.0264	0	n
2802.1788	0	n
2802.3312	0	n
2802.4836	0	n
2802.636	0	n
2802.7884	0	n
2802.9408	0	n
2803.0932	0	n
2803.2456	0	n
2803.398	0	n
2803.5504	0	n
2803.7028	0	n
2803.8552	0	n
2804.0076	0	n
2804.16	0	n
2804.3124	0	n
2804.4648	0	n
2804.6172	0	n
2804.7696	0	n
2804.922	0	n
2805.0744	0	n
2805.2268	0	n
2805.3792	0	n
2805.5316	0	n
2805.684	0	n
2805.8364	0	n
2805.9888	0	n
2806.1412	0	n
2806.2936	0	n
2806.446	0	n
2806.5984	0	n
2806.7508	0	n
2806.9032	0	n
2807.0556	0	n
2807.208	0	n
2807.3604	0	n
2807.5128	0	n
2807.6652	0	n
2807.8176	0	n
2807.97	0	n
2808.1224	0	n
2808.2748	0	n
2808.4272	0	n
2808.5796	0	n
2808.732	0	n
2808.8844	0	n
2809.0368	0	n
2809.1892	0	n
2809.3416	0	n
2809.494	0	n
2809.6464	0	n
2809.7988	0	n
2809.9512	0	n
2810.1036	0	n
2810.256	0	n
2810.4084	0	n
2810.5608	0	n
2810.7132	0	n
2810.8656	0	n
2811.018	0	n
2811.1704	0	n
2811.3228	0	n
2811.4752	0	n
2811.6276	0	n
2811.78	0	n
2811.9324	0	n
2812.0848	0	n
2812.2372	0	n
2812.3896	0	n
2812.542	0	n
2812.6944	0	n
2812.8468	0	n
2812.9992	0	n
2813.1516	0	n
2813.304	0	n
2813.4564	0	n
2813.6088	0	n
2813.7612	0	n
2813.9136	0	n
2814.066	0	n
2814.2184	0	n
2814.3708	0	n
2814.5232	0	n
2814.6756	0	n
2814.828	0	n
2814.9804	0	n
2815.1328	0	n
2815.2852	0	n
2815.4376	0	n
2815.59	0	n
2815.7424	0	n
2815.8948	0	n
2816.0472	0	n
2816.1996	0	n
2816.352	0	n
2816.5044	0	n
2816.6568	0	n
2816.8092	0	n
2816.9616	0	n
2817.114	0	n
2817.2664	0	n
2817.4188	0	n
2817.5712	0	n
2817.7236	0	n
2817.876	0	n
2818.0284	0	n
2818.1808	0	n
2818.3332	0	n
2818.4856	0	n
2818.638	0	n
2818.7904	0	n
2818.9428	0	n
2819.0952	0	n
2819.2476	0	n
2819.4	0	n
2819.5524	0	n
2819.7048	0	n
2819.8572	0	n
2820.0096	0	n
2820.162	0	n
2820.3144	0	n
2820.4668	0	n
2820.6192	0	n
2820.7716	0	n
2820.924	0	n
2821.0764	0	n
2821.2288	0	n
2821.3812	0	n
2821.5336	0	n
2821.686	0	n
2821.8384	0	n
2821.9908	0	n
2822.1432	0	n
2822.2956	0	n
2822.448	0	n
2822.6004	0	n
2822.7528	0	n
2822.9052	0	n
2823.0576	0	n
2823.21	0	n
2823.3624	0	n
2823.5148	0	n
2823.6672	0	n
2823.8196	0	n
2823.972	0	n
2824.1244	0	n
2824.2768	0	n
2824.4292	0	n
2824.5816	0	n
2824.734	0	n
2824.8864	0	n
2825.0388	0	n
2825.1912	0	n
2825.3436	0	n
2825.496	0	n
2825.6484	0	n
2825.8008	0	n
2825.9532	0	n
2826.1056	0	n
2826.258	0	n
2826.4104	0	n
2826.5628	0	n
2826.7152	0	n
2826.8676	0	n
2827.02	0	n
2827.1724	0	n
2827.3248	0	n
2827.4772	0	n
2827.6296	0	n
2827.782	0	n
2827.9344	0	n
2828.0868	0	n
2828.2392	0	n
2828.3916	0	n
2828.544	0	n
2828.6964	0	n
2828.8488	0	n
2829.0012	0	n
2829.1536	0	n
2829.306	0	n
2829.4584	0	n
2829.6108	0	n
2829.7632	0	n
2829.9156	0	n
2830.068	0	n
2830.2204	0	n
2830.3728	0	n
2830.5252	0	n
2830.6776	0	n
2830.83	0	n
2830.9824	0	n
2831.1348	0	n
2831.2872	0	n
2831.4396	0	n
2831.592	0	n
2831.7444	0	n
2831.8968	0	n
2832.0492	0	n
