            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING 
       2239.97520   2239.93848   2239.94360    446.85330      -999.25      -999.25      0.26865      0.37415      0.39484      0.23356      0.21432      0.36097      0.43214      0.41308      0.14743      0.19122      0.26181      0.23518      0.24937      0.27784      0.24372      0.30000      0.28853      0.30000      0.50000      0.45657      0.31221      0.65797      0.31235      0.30927      0.29243      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02166      0.02783      0.50326      0.48742      0.00622      0.00131      0.00663      0.00701      0.00561
       2240.12760   2240.13062   2240.09599    444.49760      -999.25      -999.25      0.26859      0.37392      0.39497      0.23359      0.21428      0.36098      0.43210      0.41308      0.14743      0.19122      0.26192      0.23523      0.24941      0.27776      0.24360      0.30000      0.28855      0.30000      0.50000      0.45659      0.31203      0.65797      0.31214      0.30905      0.29235      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02208      0.02820      0.52013      0.50292      0.00629      0.00131      0.00667      0.00708      0.00588
       2240.28000   2240.25928   2240.24838    443.35050      -999.25      -999.25      0.26866      0.37450      0.39505      0.23356      0.21428      0.36096      0.43214      0.41308      0.14743      0.19122      0.26191      0.23519      0.24926      0.27757      0.24364      0.30000      0.28855      0.30000      0.50000      0.45657      0.31184      0.65852      0.31202      0.30918      0.29215      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02253      0.02870      0.53051      0.51981      0.00635      0.00135      0.00676      0.00712      0.00597
       2240.43240   2240.38843   2240.40078    443.57060      -999.25      -999.25      0.26860      0.37427      0.39491      0.23353      0.21429      0.36098      0.43210      0.41308      0.14743      0.19122      0.26186      0.23515      0.24933      0.27787      0.24378      0.30000      0.28855      0.30000      0.50000      0.45658      0.31171      0.65836      0.31216      0.30930      0.29195      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02297      0.02921      0.53588      0.53019      0.00644      0.00133      0.00680      0.00717      0.00602
       2240.58480   2240.57935   2240.55317    442.17640      -999.25      -999.25      0.26860      0.37404      0.39494      0.23361      0.21434      0.36099      0.43209      0.41309      0.14743      0.19122      0.26201      0.23532      0.24940      0.27730      0.24317      0.30000      0.28854      0.30000      0.50000      0.45657      0.31195      0.65821      0.31230      0.30943      0.29176      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02334      0.03167      0.54042      0.53556      0.00647      0.00139      0.00685      0.00722      0.00611
       2240.73720   2240.70850   2240.70556    442.70470      -999.25      -999.25      0.26864      0.37443      0.39516      0.23365      0.21434      0.36098      0.43210      0.41308      0.14743      0.19122      0.26187      0.23519      0.24938      0.27776      0.24358      0.30000      0.28854      0.30000      0.50000      0.45657      0.31219      0.67935      0.31245      0.30940      0.29200      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02383      0.38174      0.55368      0.54008      0.00651      0.00140      0.00688      0.00730      0.00613
       2240.88960   2240.89844   2240.85796    444.95110      0.00000      -999.25      0.26862      0.37384      0.39476      0.23349      0.21425      0.36097      0.43212      0.41308      0.14743      0.19122      0.26188      0.23519      0.24931      0.27758      0.24352      0.30000      0.28854      0.30000      0.50000      0.45658      0.31243      0.67930      0.31239      0.30924      0.29223      1.03398     -0.06417      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02416      0.42374      0.56791      0.55332      0.00652      0.00138      0.00694      0.00735      0.00615
       2241.04200   2241.02612   2241.01035    450.55530      0.00000      -999.25      0.26863      0.37450      0.39497      0.23348      0.21422      0.36098      0.43211      0.41309      0.14743      0.19122      0.26181      0.23516      0.24936      0.27786      0.24375      0.30000      0.28854      0.30000      0.50000      0.45659      0.31240      0.67940      0.31223      0.30908      0.29246      1.06255     -0.02583      -999.25      0.89016      -999.25      -999.25      -999.25      -999.25      -999.25      0.02469      0.42705      0.58010      0.56761      0.00664      0.00150      0.00705      0.00761      0.00621
       2241.19440   2241.20679   2241.16274    450.59270      0.00000      -999.25      0.26866      0.37429      0.39472      0.23344      0.21425      0.36097      0.43212      0.41309      0.14743      0.19122      0.26174      0.23515      0.24932      0.27768      0.24359      0.30000      0.28857      0.30000      0.50000      0.45657      0.31210      0.67950      0.31207      0.30911      0.29250      1.05513     -0.02693      -999.25      0.86860      -999.25      -999.25      -999.25      -999.25      -999.25      0.02513      0.43083      0.59652      0.57971      0.00666      0.00157      0.00722      0.00773      0.00625
       2241.34680   2241.31763   2241.31514    448.95730      0.00000      -999.25      0.26854      0.37396      0.39500      0.23358      0.21428      0.36097      0.43211      0.41308      0.14743      0.19122      0.26180      0.23519      0.24942      0.27794      0.24378      0.30000      0.28855      0.30000      0.50000      0.45656      0.31180      0.67971      0.31215      0.30921      0.29227      1.05337     -0.02947      -999.25      0.81117      -999.25      -999.25      -999.25      -999.25      -999.25      0.02549      0.44534      0.61311      0.59617      0.00687      0.00188      0.00739      0.00784      0.00631
