TVDepth(m)	Sgh	morph
2270.14345	0	n
2270.29585	0	n
2270.44825	0	n
2270.60065	0	n
2270.75305	0	n
2270.90545	0	n
2271.05784	0	n
2271.21024	0	n
2271.36264	0	n
2271.51504	0	n
2271.66744	0	n
2271.81984	0	n
2271.97224	0	n
2272.12463	0	n
2272.27703	0	n
2272.42943	0	n
2272.58183	0	n
2272.73423	0	n
2272.88663	0	n
2273.03903	0	n
2273.19142	0	n
2273.34382	0	n
2273.49622	0	n
2273.64862	0	n
2273.80102	0	n
2273.95342	0	n
2274.10582	0.14969	F
2274.25821	0.10898	F
2274.41061	0.10783	F
2274.56301	0.16054	F
2274.71541	0.18603	F
2274.86781	0.2043	F
2275.02021	0	n
2275.17261	0	n
2275.325	0	n
2275.4774	0.13114	F
2275.6298	0.1197	F
2275.7822	0.10554	F
2275.9346	0.14106	F
2276.087	0.13727	F
2276.2394	0.14293	F
2276.39179	0.12823	F
2276.54419	0.13649	F
2276.69659	0.10947	F
2276.84899	0.14137	F
2277.00139	0.18574	F
2277.15379	0.16039	F
2277.30618	0.10991	F
2277.45858	0.10265	F
2277.61098	0.12421	F
2277.76338	0.15787	F
2277.91578	0.2164	F
2278.06818	0.18297	F
2278.22058	0.23034	F
2278.37297	0.19621	F
2278.52537	0.24864	F
2278.67777	0.29102	F
2278.83017	0.26838	F
2278.98257	0.21967	F
2279.13497	0.2158	F
2279.28736	0.2088	F
2279.43976	0.21887	F
2279.59216	0.18194	F
2279.74456	0.17535	F
2279.89696	0.21089	F
2280.04936	0.16143	F
2280.20176	0.0929	F
2280.35415	0.12145	F
2280.50655	0.1757	F
2280.65895	0.14932	F
2280.81135	0.19676	F
2280.96375	0.25747	F
2281.11615	0.26123	F
2281.26854	0.22462	F
2281.42094	0.23791	F
2281.57334	0.3112	F
2281.72574	0.31213	F
2281.87814	0.31733	F
2282.03054	0.30708	F
2282.18293	0.25225	F
2282.33533	0.23633	F
2282.48773	0.20377	F
2282.64013	0.20117	F
2282.79253	0.27643	F
2282.94493	0.22732	F
2283.09732	0.24617	F
2283.24972	0.19272	F
2283.40212	0.22682	F
2283.55452	0.25955	F
2283.70692	0.25052	F
2283.85932	0.25344	F
2284.01171	0.25669	F
2284.16411	0.27468	F
2284.31651	0.29105	F
2284.46891	0.28626	F
2284.62131	0.2216	F
2284.77371	0.20062	F
2284.9261	0.21516	F
2285.0785	0.27854	F
2285.2309	0.19757	F
2285.3833	0.32935	F
2285.5357	0.39214	F
2285.6881	0.39583	F
2285.84049	0.29161	F
2285.99289	0.23085	F
2286.14529	0.27802	F
2286.29769	0.25462	F
2286.45009	0.22998	F
2286.60248	0.20492	F
2286.75488	0.18507	F
2286.90728	0.12816	F
2287.05968	0.23456	F
2287.21208	0.31359	F
2287.36448	0.30041	F
2287.51687	0.30493	F
2287.66927	0.26239	F
2287.82167	0.22745	F
2287.97407	0.25312	F
2288.12647	0.25849	F
2288.27886	0.21097	F
2288.43126	0.19257	F
2288.58366	0.24427	F
2288.73606	0.20969	F
2288.88846	0.29479	F
2289.04086	0.30666	F
2289.19325	0.29805	F
2289.34565	0.30601	F
2289.49805	0.27892	F
2289.65045	0.19392	F
2289.80285	0.18444	F
2289.95524	0.21714	F
2290.10764	0.2847	F
2290.26004	0.28772	F
2290.41244	0.30421	F
2290.56484	0.26687	F
2290.71724	0.24812	F
2290.86963	0.29074	F
2291.02203	0.25621	F
2291.17443	0.25169	F
2291.32683	0.26558	F
2291.47923	0.36015	F
2291.63162	0.31148	F
2291.78402	0.281	F
2291.93642	0.18054	F
2292.08882	0.24401	F
2292.24122	0.27318	F
2292.39361	0.23097	F
2292.54601	0.22656	F
2292.69841	0.20662	F
2292.85081	0.19158	F
2293.00321	0.23482	F
2293.1556	0.18013	F
2293.308	0.24505	F
2293.4604	0.2108	F
2293.6128	0.18363	F
2293.7652	0.19457	F
2293.91759	0.34776	F
2294.06999	0.22554	F
2294.22239	0.21077	F
2294.37479	0.21546	F
2294.52719	0.22336	F
2294.67958	0.28733	F
2294.83198	0.23667	F
2294.98438	0.20961	F
2295.13678	0.22291	F
2295.28918	0.19496	F
2295.44157	0.31379	F
2295.59397	0.39976	F
2295.74637	0.36874	F
2295.89877	0.34913	F
2296.05117	0.28376	F
2296.20356	0.29505	F
2296.35596	0.3637	F
2296.50836	0.37728	F
2296.66076	0.25679	F
2296.81316	0.24616	F
2296.96555	0.29468	F
2297.11795	0.34063	F
2297.27035	0.21483	F
2297.42275	0.19837	F
2297.57515	0.1933	F
2297.72754	0	n
2297.87994	0	n
2298.03234	0	n
2298.18474	0	n
2298.33714	0	n
2298.48953	0	n
2298.64193	0	n
2298.79433	0	n
2298.94673	0	n
2299.09912	0	n
2299.25152	0	n
2299.40392	0	n
2299.55632	0	n
2299.70872	0	n
2299.86111	0	n
2300.01351	0	n
2300.16591	0	n
2300.31831	0	n
2300.47071	0	n
2300.6231	0	n
2300.7755	0	n
2300.9279	0	n
2301.0803	0	n
2301.23269	0	n
2301.38509	0	n
2301.53749	0	n
2301.68989	0	n
2301.84229	0	n
2301.99468	0	n
2302.14708	0	n
2302.29948	0	n
2302.45188	0	n
2302.60427	0	n
2302.75667	0	n
2302.90907	0	n
2303.06147	0	n
2303.21387	0	n
2303.36626	0	n
2303.51866	0	n
2303.67106	0	n
2303.82346	0	n
2303.97585	0	n
2304.12825	0	n
2304.28065	0	n
2304.43305	0	n
2304.58544	0	n
2304.73784	0	n
2304.89024	0	n
2305.04264	0	n
2305.19504	0	n
2305.34743	0	n
2305.49983	0	n
2305.65223	0	n
2305.80463	0	n
2305.95702	0	n
2306.10942	0	n
2306.26182	0	n
2306.41422	0	n
2306.56661	0	n
2306.71901	0	n
2306.87141	0	n
2307.02381	0	n
2307.1762	0	n
2307.3286	0	n
2307.481	0	n
2307.6334	0	n
2307.78579	0	n
2307.93819	0	n
2308.09059	0	n
2308.24299	0	n
2308.39539	0	n
2308.54778	0	n
2308.70018	0	n
2308.85258	0	n
2309.00498	0	n
2309.15737	0	n
2309.30977	0	n
2309.46217	0	n
2309.61457	0	n
2309.76696	0	n
2309.91936	0	n
2310.07176	0	n
2310.22416	0	n
2310.37655	0	n
2310.52895	0	n
2310.68135	0	n
2310.83375	0	n
2310.98614	0	n
2311.13854	0	n
2311.29094	0	n
2311.44334	0	n
2311.59573	0	n
2311.74813	0	n
2311.90053	0	n
2312.05292	0	n
2312.20532	0	n
2312.35772	0	n
2312.51012	0	n
2312.66251	0	n
2312.81491	0	n
2312.96731	0	n
2313.11971	0	n
