TDEP        DTCO       DTSM       PR         TICO       TISS       VP         VPVS       VS
2759.497   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2759.65    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2759.802   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2759.955   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2760.107   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2760.26    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2760.412   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2760.564   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2760.717   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2760.869   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2761.021   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2761.174   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2761.326   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2761.479   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2761.631   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2761.783   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2761.936   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2762.088   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2762.241   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2762.393   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2762.545   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2762.698   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2762.85    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2763.003   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2763.155   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2763.308   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2763.46    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2763.612   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2763.765   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2763.917   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2764.07    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2764.222   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2764.374   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2764.527   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2764.679   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2764.832   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2764.984   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2765.136   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2765.289   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2765.441   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2765.594   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2765.746   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2765.898   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
