TVDepth(m)	Sgh	morph
2398.1664	0	n
2398.3188	0	n
2398.4712	0	n
2398.6236	0	n
2398.776	0	n
2398.9284	0	n
2399.0808	0	n
2399.2332	0	n
2399.3856	0	n
2399.538	0	n
2399.6904	0	n
2399.8428	0	n
2399.9952	0	n
2400.1476	0	n
2400.3	0	n
2400.4524	0	n
2400.6048	0	n
2400.7572	0	n
2400.9096	0	n
2401.062	0	n
2401.2144	0	n
2401.3668	0	n
2401.5192	0	n
2401.6716	0	n
2401.824	0	n
2401.9764	0	n
2402.1288	0	n
2402.2812	0	n
2402.4336	0	n
2402.586	0	n
2402.7384	0	n
2402.8908	0	n
2403.0432	0	n
2403.1956	0	n
2403.348	0	n
2403.5004	0	n
2403.6528	0	n
2403.8052	0	n
2403.9576	0	n
2404.11	0	n
2404.2624	0	n
2404.4148	0	n
2404.5672	0	n
2404.7196	0	n
2404.872	0	n
2405.0244	0	n
2405.1768	0	n
2405.3292	0	n
2405.4816	0	n
2405.634	0	n
2405.7864	0	n
2405.9388	0	n
2406.0912	0	n
2406.2436	0	n
2406.396	0	n
2406.5484	0	n
2406.7008	0	n
2406.8532	0	n
2407.0056	0	n
2407.158	0	n
2407.3104	0	n
2407.4628	0	n
2407.6152	0	n
2407.7676	0	n
2407.92	0	n
2408.0724	0	n
2408.2248	0	n
2408.3772	0	n
2408.5296	0	n
2408.682	0	n
2408.8344	0	n
2408.9868	0	n
2409.1392	0	n
2409.2916	0	n
2409.444	0	n
2409.5964	0	n
2409.7488	0	n
2409.9012	0	n
2410.0536	0	n
2410.206	0	n
2410.3584	0	n
2410.5108	0	n
2410.6632	0	n
2410.8156	0	n
2410.968	0	n
2411.1204	0	n
2411.2728	0	n
2411.4252	0	n
2411.5776	0	n
2411.73	0	n
2411.8824	0	n
2412.0348	0	n
2412.1872	0	n
2412.3396	0	n
2412.492	0	n
2412.6444	0	n
2412.7968	0	n
2412.9492	0	n
2413.1016	0	n
2413.254	0	n
2413.4064	0	n
2413.5588	0	n
2413.7112	0	n
2413.8636	0	n
2414.016	0	n
2414.1684	0	n
2414.3208	0	n
2414.4732	0	n
2414.6256	0	n
2414.778	0	n
2414.9304	0	n
2415.0828	0	n
2415.2352	0	n
2415.3876	0	n
2415.54	0	n
2415.6924	0	n
2415.8448	0	n
2415.9972	0	n
2416.1496	0	n
2416.302	0	n
2416.4544	0	n
2416.6068	0	n
2416.7592	0	n
2416.9116	0	n
2417.064	0	n
2417.2164	0	n
2417.3688	0	n
2417.5212	0	n
2417.6736	0	n
2417.826	0	n
2417.9784	0	n
2418.1308	0	n
2418.2832	0	n
2418.4356	0	n
2418.588	0	n
2418.7404	0	n
2418.8928	0	n
2419.0452	0	n
2419.1976	0	n
2419.35	0	n
2419.5024	0	n
2419.6548	0	n
2419.8072	0	n
2419.9596	0	n
2420.112	0	n
2420.2644	0	n
2420.4168	0	n
2420.5692	0	n
2420.7216	0	n
2420.874	0	n
2421.0264	0	n
2421.1788	0	n
2421.3312	0	n
2421.4836	0	n
2421.636	0	n
2421.7884	0	n
2421.9408	0	n
2422.0932	0	n
2422.2456	0	n
2422.398	0	n
2422.5504	0	n
2422.7028	0	n
2422.8552	0	n
2423.0076	0	n
2423.16	0	n
2423.3124	0	n
2423.4648	0	n
2423.6172	0	n
2423.7696	0	n
2423.922	0	n
2424.0744	0	n
2424.2268	0	n
2424.3792	0	n
2424.5316	0	n
2424.684	0	n
2424.8364	0	n
2424.9888	0	n
2425.1412	0	n
2425.2936	0	n
2425.446	0	n
2425.5984	0	n
2425.7508	0	n
2425.9032	0	n
2426.0556	0	n
2426.208	0	n
2426.3604	0	n
2426.5128	0	n
2426.6652	0	n
2426.8176	0	n
2426.97	0	n
2427.1224	0	n
2427.2748	0	n
2427.4272	0	n
2427.5796	0	n
2427.732	0	n
2427.8844	0	n
2428.0368	0	n
2428.1892	0	n
2428.3416	0	n
2428.494	0	n
2428.6464	0	n
2428.7988	0	n
2428.9512	0	n
2429.1036	0	n
2429.256	0	n
2429.4084	0	n
2429.5608	0	n
2429.7132	0	n
2429.8656	0	n
2430.018	0	n
2430.1704	0	n
2430.3228	0	n
2430.4752	0	n
2430.6276	0	n
2430.78	0	n
2430.9324	0	n
2431.0848	0	n
