            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING 
       1934.87040   1934.87244   1934.73968    290.61050      0.00000      -999.25      0.26881      0.36721      0.38915      0.23447      0.21474      0.35496      0.42574      0.40697      0.14745      0.19130      0.26140      0.23601      0.24989      0.27684      0.24429      0.30000      0.28951      0.30000      0.50000      0.45220      0.30082      0.42747      0.30768      0.30654      0.29027      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02041      0.57402      0.66333      0.65431      0.00644      0.00185      0.00686      0.00728      0.00602
       1935.02280   1935.00476   1934.89205    312.55670      0.00000      -999.25      0.26883      0.36702      0.38904      0.23446      0.21475      0.35496      0.42575      0.40697      0.14745      0.19130      0.26139      0.23589      0.24966      0.27653      0.24413      0.30000      0.28954      0.30000      0.50000      0.45220      0.30075      0.42786      0.30769      0.30658      0.29019      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02044      0.57644      0.67243      0.66285      0.00638      0.00182      0.00680      0.00722      0.00597
       1935.17520   1935.18408   1935.04442    327.64510      0.00000      -999.25      0.26867      0.36686      0.38917      0.23449      0.21475      0.35495      0.42575      0.40697      0.14745      0.19130      0.26147      0.23598      0.24975      0.27643      0.24394      0.30000      0.28952      0.30000      0.50000      0.45219      0.30077      0.42825      0.30772      0.30662      0.29010      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02055      0.57639      0.68013      0.67194      0.00631      0.00175      0.00672      0.00714      0.00589
       1935.32760   1935.31873   1935.19679    328.25660      0.00000      -999.25      0.26869      0.36718      0.38932      0.23454      0.21477      0.35496      0.42571      0.40697      0.14745      0.19130      0.26135      0.23603      0.24987      0.27664      0.24411      0.30000      0.28952      0.30000      0.50000      0.45220      0.30085      0.42833      0.30775      0.30661      0.29013      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02069      0.58528      0.68820      0.67972      0.00631      0.00175      0.00673      0.00715      0.00590
       1935.48000   1935.46338   1935.34916    326.40360      0.00000      -999.25      0.26874      0.36726      0.38943      0.23456      0.21476      0.35496      0.42572      0.40697      0.14745      0.19130      0.26150      0.23596      0.24956      0.27622      0.24419      0.30000      0.28953      0.30000      0.50000      0.45221      0.30093      0.42808      0.30775      0.30646      0.29026      0.99618     -0.10490      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02092      0.59009      0.69605      0.68773      0.00626      0.00170      0.00668      0.00710      0.00584
       1935.63240   1935.60950   1935.50153    321.65160      0.00000      -999.25      0.26880      0.36702      0.38899      0.23446      0.21478      0.35496      0.42574      0.40697      0.14745      0.19130      0.26135      0.23596      0.24987      0.27694      0.24437      0.30000      0.28952      0.30000      0.50000      0.45221      0.30098      0.42784      0.30772      0.30631      0.29040      1.01552     -0.08351      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.02132      0.59770      0.70173      0.69561      0.00624      0.00166      0.00666      0.00708      0.00582
       1935.78480   1935.75635   1935.65390    322.88490      0.00000      -999.25      0.26871      0.36713      0.38890      0.23434      0.21472      0.35495      0.42577      0.40697      0.14745      0.19130      0.26131      0.23591      0.24979      0.27697      0.24452      0.30000      0.28948      0.30000      0.50000      0.45221      0.30093      0.42762      0.30768      0.30616      0.29051      1.03710     -0.05720      -999.25      0.08981      -999.25      -999.25      -999.25      -999.25      -999.25      0.02186      0.60657      0.70714      0.70130      0.00623      0.00164      0.00665      0.00706      0.00581
       1935.93720   1935.90491   1935.80627    328.84060      0.00000     12.66898      0.26867      0.36678      0.38925      0.23463      0.21487      0.35495      0.42572      0.40697      0.14745      0.19130      0.26132      0.23600      0.24985      0.27651      0.24386      0.30000      0.28952      0.30000      0.50000      0.45221      0.30088      0.42796      0.30761      0.30596      0.29046      1.05681     -0.03118    108.47160      0.76336      -999.25      -999.25   2814.00043      3.00000      -999.25      0.57019      0.61283      0.71366      0.70672      0.00624      0.00164      0.00665      0.00706      0.00582
       1936.08960   1936.06030   1935.95864    335.39920      0.00000     12.66898      0.26872      0.36716      0.38916      0.23443      0.21471      0.35496      0.42575      0.40697      0.14745      0.19130      0.26124      0.23596      0.24983      0.27673      0.24425      0.30000      0.28952      0.30000      0.50000      0.45220      0.30082      0.42827      0.30730      0.30575      0.29041      1.05893     -0.02485    107.09570      0.93463      -999.25      -999.25   2815.10417      3.00000      -999.25      0.57046      0.62103      0.72061      0.71324      0.00623      0.00164      0.00665      0.00706      0.00582
       1936.24200   1936.21716   1936.11101    342.31290      0.00000     11.99028      0.26878      0.36716      0.38917      0.23447      0.21474      0.35497      0.42570      0.40697      0.14745      0.19130      0.26133      0.23592      0.24975      0.27650      0.24389      0.30000      0.28952      0.30000      0.50000      0.45221      0.30053      0.42859      0.30699      0.30554      0.29035      1.05922     -0.02498    130.00000      0.91103      -999.25      -999.25   2814.00043      3.00000      -999.25      0.57296      0.62882      0.72771      0.72021      0.00625      0.00166      0.00666      0.00708      0.00583
