            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING 
       2191.66440   2191.64209   2191.65815    318.98580      0.00000      9.77944      0.27032      0.37410      0.39107      0.23567      0.21522      0.35364      0.42326      0.40522      0.14746      0.19132      0.26362      0.23744      0.25168      0.27894      0.24540      0.30000      0.28924      0.30000      0.50000      0.45080      0.31697      0.50018      0.32007      0.31462      0.29571      1.05520     -0.03099    109.32530      0.67323      -999.25      -999.25   3195.00007      2.00000      -999.25      0.10320      0.19237      0.28805      0.27987      0.00690      0.00181      0.00737      0.01084      0.00640
       2191.81680   2191.82764   2191.81055    321.98030      0.00000     11.05304      0.27031      0.37425      0.39127      0.23583      0.21534      0.35363      0.42324      0.40522      0.14746      0.19132      0.26351      0.23738      0.25166      0.27941      0.24608      0.30000      0.28921      0.30000      0.50000      0.45080      0.31722      0.50056      0.31821      0.31486      0.29591      1.05501     -0.03151    130.00000      0.65413      -999.25      -999.25   3193.96595      2.00000      -999.25      0.10561      0.19902      0.29735      0.28763      0.00695      0.00185      0.01041      0.01138      0.00647
       2191.96920   2191.96582   2191.96295    328.21410      0.00000     10.77686      0.27036      0.37439      0.39099      0.23563      0.21523      0.35364      0.42327      0.40522      0.14746      0.19132      0.26364      0.23738      0.25149      0.27865      0.24534      0.30000      0.28922      0.30000      0.50000      0.45078      0.31595      0.50069      0.31885      0.31533      0.29643      1.05493     -0.03204    117.58860      0.64724      -999.25      -999.25   3195.00007      2.00000      -999.25      0.10540      0.20535      0.30451      0.29687      0.00993      0.00183      0.01090      0.01146      0.00647
       2192.12160   2192.10132   2192.11534    331.26560      0.00000     11.47441      0.27027      0.37368      0.39092      0.23572      0.21529      0.35362      0.42326      0.40521      0.14746      0.19132      0.26380      0.23749      0.25163      0.27892      0.24561      0.30000      0.28923      0.30000      0.50000      0.45078      0.31629      0.50066      0.31923      0.31527      0.29539      1.05470     -0.03211    130.00000      0.63870      -999.25      -999.25   3192.99999      2.00000      -999.25      0.14737      0.21167      0.30986      0.30403      0.01042      0.00181      0.01098      0.01195      0.00945
       2192.27400   2192.24219   2192.26774    334.26170      0.00000     10.59103      0.27033      0.37392      0.39117      0.23577      0.21527      0.35363      0.42325      0.40521      0.14746      0.19132      0.26376      0.23749      0.25162      0.27909      0.24592      0.30000      0.28924      0.30000      0.50000      0.45081      0.31679      0.50064      0.31915      0.31527      0.29542      1.05720     -0.03023    112.07220      0.67691      -999.25      -999.25   3195.99938      2.00000      -999.25      0.15500      0.21862      0.31570      0.30944      0.01057      0.00181      0.01154      0.01279      0.01000
       2192.42640   2192.42676   2192.42014    333.33830      0.00000     10.34149      0.27026      0.37367      0.39093      0.23540      0.21494      0.35366      0.42321      0.40521      0.14746      0.19132      0.26354      0.23728      0.25126      0.27849      0.24560      0.30000      0.28926      0.30000      0.50000      0.45084      0.31656      0.50055      0.31920      0.31566      0.29594      1.05978     -0.02845    130.00000      0.70587      -999.25      -999.25   3192.99999      2.00000      -999.25      0.16231      0.22579      0.32148      0.31523      0.01107      0.00184      0.01232      0.01357      0.01010
       2192.57880   2192.56592   2192.57254    332.95940      0.00000     10.26877      0.27038      0.37402      0.39116      0.23579      0.21530      0.35361      0.42325      0.40520      0.14746      0.19132      0.26359      0.23738      0.25152      0.27897      0.24578      0.30000      0.28920      0.30000      0.50000      0.45080      0.31642      0.50042      0.31951      0.31598      0.29559      1.06150     -0.02756    118.80870      0.71566      -999.25      -999.25   3195.99938      2.00000      -999.25      0.16470      0.23324      0.32769      0.32102      0.01186      0.00185      0.01311      0.01400      0.01061
       2192.73120   2192.70435   2192.72494    333.25500      0.00000      9.88094      0.27031      0.37352      0.39068      0.23562      0.21526      0.35363      0.42328      0.40521      0.14746      0.19132      0.26356      0.23734      0.25172      0.27965      0.24608      0.30000      0.28924      0.30000      0.50000      0.45079      0.31676      0.50029      0.31966      0.31568      0.29528      1.06119     -0.02752    115.28390      0.74147      -999.25      -999.25   3195.00007      2.00000      -999.25      0.16458      0.24333      0.33389      0.32722      0.01264      0.00181      0.01353      0.01417      0.01139
       2192.88360   2192.88672   2192.87734    332.94340      0.00000     10.60058      0.27043      0.37421      0.39059      0.23549      0.21520      0.35364      0.42319      0.40521      0.14746      0.19132      0.26347      0.23735      0.25167      0.27946      0.24602      0.30000      0.28922      0.30000      0.50000      0.45083      0.31704      0.50066      0.31939      0.31539      0.29572      1.05561     -0.03276    108.69630      0.66115      -999.25      -999.25   3197.00014      2.00000      -999.25      0.18875      0.24958      0.33764      0.33347      0.01312      0.00187      0.01375      0.01445      0.01223
       2193.03600   2193.02441   2193.02974    331.63810      0.00000     10.60919      0.27030      0.37397      0.39111      0.23565      0.21517      0.35363      0.42326      0.40521      0.14746      0.19132      0.26364      0.23738      0.25154      0.27905      0.24581      0.30000      0.28922      0.30000      0.50000      0.45078      0.31680      0.49931      0.32018      0.31980      0.29612      1.05639     -0.03148    114.74170      0.70202      -999.25      -999.25   3195.00007      2.00000      -999.25      0.19533      0.25575      0.34631      0.33714      0.01326      0.00187      0.01395      0.01464      0.01262
