            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING 
       2664.86640   2664.83691   2664.54597    481.15040      -999.25      -999.25      0.26806      0.38065      0.40118      0.23234      0.21375      0.36902      0.44016      0.42077      0.14741      0.19112      0.26178      0.23396      0.24836      0.27832      0.24252      0.30000      0.28759      0.30000      0.50000      0.46178      0.10000      0.50784      0.10000      0.10000      0.10000      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.78668      0.79641      0.95717      0.94272      0.00481      0.00127      0.00514      0.00551      0.00447
       2665.01880   2664.97803   2664.69832    481.72810      -999.25      -999.25      0.26800      0.38059      0.40139      0.23240      0.21374      0.36903      0.44015      0.42077      0.14741      0.19112      0.26161      0.23388      0.24835      0.27845      0.24255      0.30000      0.28760      0.30000      0.50000      0.46179      0.10000      0.50784      0.10000      0.31508      0.10000      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.78695      0.79657      0.97282      0.95686      0.00483      0.00130      0.00520      0.00552      0.00450
       2665.17120   2665.17456   2664.85066    483.36020      -999.25      -999.25      0.26806      0.38067      0.40132      0.23234      0.21370      0.36903      0.44015      0.42077      0.14741      0.19112      0.26170      0.23389      0.24823      0.27801      0.24228      0.30000      0.28757      0.30000      0.50000      0.46180      0.10000      0.50036      0.32033      0.31508      0.10000      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.78704      0.79681      0.98735      0.97249      0.00487      0.00125      0.00519      0.00555      0.00450
       2665.32360   2665.30884   2665.00301    484.21260      -999.25      -999.25      0.26801      0.38033      0.40121      0.23231      0.21368      0.36902      0.44014      0.42077      0.14741      0.19112      0.26173      0.23389      0.24830      0.27827      0.24244      0.30000      0.28758      0.30000      0.50000      0.46178      0.31887      0.50036      0.32033      0.31572      0.10000      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.78732      0.79733      1.00510      0.98704      0.00488      0.00122      0.00524      0.00556      0.00456
       2665.47600   2665.44067   2665.15535    486.08460      -999.25      -999.25      0.26806      0.38058      0.40126      0.23234      0.21372      0.36903      0.44013      0.42077      0.14741      0.19112      0.26173      0.23393      0.24833      0.27824      0.24244      0.30000      0.28758      0.30000      0.50000      0.46178      0.31887      0.50051      0.32090      0.31572      0.29814      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.78784      0.79785      1.02103      1.00478      0.00493      0.00122      0.00525      0.00559      0.00457
       2665.62840   2665.64063   2665.30770    487.16280      -999.25      -999.25      0.26809      0.38059      0.40120      0.23229      0.21367      0.36902      0.44016      0.42078      0.14741      0.19112      0.26168      0.23388      0.24829      0.27833      0.24253      0.30000      0.28759      0.30000      0.50000      0.46178      0.31936      0.50051      0.32090      0.31572      0.29814      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.79125      0.79833      1.03444      1.02069      0.00490      0.00121      0.00525      0.00560      0.00458
       2665.78080   2665.77563   2665.46004    487.02170      -999.25      -999.25      0.26811      0.38093      0.40122      0.23226      0.21367      0.36904      0.44015      0.42078      0.14741      0.19112      0.26169      0.23390      0.24835      0.27854      0.24272      0.30000      0.28758      0.30000      0.50000      0.46179      0.31936      0.50051      0.32090      0.31572      0.29854      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.79306      0.81569      1.04931      1.03417      0.00497      0.00126      0.00532      0.00566      0.00463
       2665.93320   2665.92847   2665.61239    493.69960      -999.25      -999.25      0.26811      0.38092      0.40121      0.23228      0.21370      0.36903      0.44013      0.42078      0.14741      0.19112      0.26155      0.23384      0.24828      0.27836      0.24253      0.30000      0.28757      0.30000      0.50000      0.46178      0.31936      0.50051      0.32090      0.31563      0.29854      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      -999.25      0.79361      0.81610      1.06403      1.04902      0.00504      0.00129      0.00537      0.00572      0.00469
       2666.08560   2666.07007   2665.76473    497.24960      0.00000      -999.25      0.26811      0.38085      0.40127      0.23229      0.21368      0.36903      0.44014      0.42077      0.14741      0.19112      0.26162      0.23387      0.24825      0.27806      0.24227      0.30000      0.28757      0.30000      0.50000      0.46179      0.31936      0.49946      0.32088      0.31552      0.29854      1.05288     -0.04548      -999.25      0.42823      -999.25      -999.25      -999.25      -999.25      -999.25      0.79392      0.81663      1.07870      1.06371      0.00506      0.00131      0.00541      0.00579      0.00473
       2666.23800   2666.19897   2665.91708    494.45850      0.00000      -999.25      0.26805      0.38055      0.40134      0.23238      0.21373      0.36903      0.44016      0.42078      0.14741      0.19112      0.26169      0.23390      0.24833      0.27843      0.24263      0.30000      0.28757      0.30000      0.50000      0.46180      0.31923      0.49946      0.32078      0.31541      0.29854      1.05214     -0.04084      -999.25      0.55812      -999.25      -999.25      -999.25      -999.25      -999.25      0.79407      0.89962      1.08962      1.07837      0.00508      0.00130      0.00546      0.00581      0.00473
