TDEP        DTCO       DTSM       PR         TICO       TISS       VP         VPVS       VS
2138.4764  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.6288  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.7812  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.9336  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.086   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.2384  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.3908  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.5432  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.6956  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.848   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2140.0004  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2140.1528  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2140.3052  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2140.4576  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2140.61    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2140.7624  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2140.9148  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2141.0672  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2141.2196  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2141.372   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2141.5244  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2141.6768  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2141.8292  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2141.9816  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2142.134   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2142.2864  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2142.4388  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2142.5912  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2142.7436  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2142.896   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2143.0484  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2143.2008  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2143.3532  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2143.5056  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2143.658   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2143.8104  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2143.9628  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2144.1152  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2144.2676  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2144.42    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2144.5724  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2144.7248  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2144.8772  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2145.0296  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2145.182   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2145.3344  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2145.4868  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2145.6392  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2145.7916  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2145.944   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2146.0964  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2146.2488  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2146.4012  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2146.5536  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2146.706   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2146.8584  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2147.0108  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
