TVDepth(m)	Sgh	morph
2941.58866	0	n
2941.74092	0	n
2941.89318	0	n
2942.04543	0	n
2942.19769	0	n
2942.34995	0	n
2942.50221	0	n
2942.65447	0	n
2942.80673	0	n
2942.95899	0	n
2943.11125	0	n
2943.2635	0	n
2943.41576	0	n
2943.56802	0	n
2943.72028	0	n
2943.87254	0	n
2944.0248	0	n
2944.17706	0	n
2944.32932	0	n
2944.48157	0	n
2944.63383	0	n
2944.78609	0	n
2944.93835	0	n
2945.09061	0	n
2945.24287	0	n
2945.39513	0	n
2945.54739	0	n
2945.69964	0	n
2945.8519	0	n
2946.00416	0	n
2946.15642	0	n
2946.30868	0	n
2946.46094	0	n
2946.6132	0	n
2946.76546	0	n
2946.91771	0	n
2947.06997	0	n
2947.22223	0	n
2947.37449	0	n
2947.52675	0	n
2947.67901	0	n
2947.83127	0	n
2947.98353	0	n
2948.13578	0	n
2948.28804	0	n
2948.4403	0	n
2948.59256	0	n
2948.74482	0	n
2948.89708	0	n
2949.04934	0	n
2949.2016	0	n
2949.35385	0	n
2949.50611	0	n
2949.65837	0	n
2949.81063	0	n
2949.96289	0	n
2950.11515	0	n
2950.26741	0	n
2950.41967	0	n
2950.57192	0	n
2950.72418	0	P
2950.87644	0	P
2951.0287	0	P
2951.18096	0	n
2951.33322	0	n
2951.48548	0	n
2951.63774	0	n
2951.78999	0	n
2951.94225	0	n
2952.09451	0	n
2952.24677	0	n
2952.39903	0	n
2952.55129	0	n
2952.70355	0	n
2952.85581	0	n
2953.00806	0	n
2953.16032	0	n
2953.31258	0	n
2953.46484	0	n
2953.6171	0	n
2953.76936	0	n
2953.92162	0	n
2954.07388	0	n
2954.22613	0	n
2954.37839	0	n
2954.53065	0	n
2954.68291	0	n
2954.83517	0	n
2954.98743	0	n
2955.13969	0	n
2955.29194	0	n
2955.4442	0	n
2955.59646	0	n
2955.74872	0	n
2955.90098	0	n
2956.05324	0	n
2956.2055	0	n
2956.35776	0	n
2956.51001	0	n
2956.66227	0	n
2956.81453	0	n
2956.96679	0	n
2957.11905	0	n
2957.27131	0	n
2957.42357	0	n
2957.57583	0	n
2957.72808	0	n
2957.88034	0	n
2958.0326	0	n
2958.18486	0	n
2958.33712	0	n
2958.48938	0	n
2958.64164	0	n
2958.7939	0	n
2958.94615	0	n
2959.09841	0	n
2959.25067	0	n
2959.40293	0	n
2959.55519	0	n
2959.70745	0	n
2959.85971	0	n
2960.01197	0	n
2960.16422	0	n
2960.31648	0	n
2960.46874	0	n
2960.621	0	n
2960.77326	0	n
2960.92552	0	n
2961.07778	0	n
2961.23004	0	n
2961.38229	0	n
2961.53455	0	n
2961.68681	0	n
2961.83907	0	n
2961.99133	0	n
2962.14359	0	n
2962.29585	0	n
2962.44811	0	n
2962.60036	0	n
2962.75262	0	n
2962.90488	0	n
2963.05714	0	n
2963.2094	0	n
2963.36166	0	n
2963.51392	0	n
2963.66618	0	n
2963.81843	0	n
2963.97069	0	n
2964.12295	0	n
2964.27521	0	n
2964.42747	0	n
2964.57973	0	n
2964.73199	0	n
2964.88425	0	n
2965.0365	0	n
2965.18876	0	n
2965.34102	0	n
2965.49328	0	n
2965.64554	0	n
2965.7978	0	n
2965.95006	0	n
2966.10232	0	n
2966.25457	0	n
2966.40683	0	n
2966.55909	0	n
2966.71135	0	n
2966.86361	0	n
2967.01587	0	n
2967.16813	0	n
2967.32039	0	n
2967.47264	0	n
2967.6249	0	n
2967.77716	0	n
2967.92942	0	n
2968.08168	0	n
2968.23394	0	n
2968.3862	0	n
2968.53846	0	n
2968.69071	0	n
2968.84297	0	n
2968.99523	0	n
2969.14749	0	n
2969.29975	0	n
2969.45201	0	n
2969.60427	0	n
2969.75652	0	n
2969.90878	0	n
2970.06104	0	n
2970.2133	0	n
2970.36556	0	n
2970.51782	0	n
2970.67008	0	n
2970.82234	0	n
2970.97459	0	n
2971.12685	0	n
2971.27911	0	n
2971.43137	0	n
2971.58363	0	n
2971.73589	0	n
2971.88815	0	n
2972.04041	0	n
2972.19266	0	n
2972.34492	0	n
2972.49718	0	n
2972.64944	0	n
2972.8017	0	n
2972.95396	0	n
2973.10622	0	n
2973.25848	0	n
2973.41073	0	n
2973.56299	0	n
2973.71525	0	n
2973.86751	0	n
2974.01977	0	n
2974.17203	0	n
2974.32429	0	n
2974.47655	0	n
2974.6288	0	n
2974.78106	0	n
2974.93332	0	n
2975.08558	0	n
2975.23784	0	n
2975.3901	0	n
2975.54236	0	n
2975.69462	0	n
2975.84687	0	n
2975.99913	0	n
2976.15139	0	n
2976.30365	0	n
2976.45591	0	n
2976.60817	0	n
2976.76043	0	n
2976.91269	0	n
2977.06494	0	n
2977.2172	0	n
2977.36946	0	n
2977.52172	0	n
2977.67398	0	n
2977.82624	0	n
2977.9785	0	n
2978.13076	0	n
2978.28301	0	n
2978.43527	0	n
2978.58753	0	n
2978.73979	0	n
2978.89205	0	n
2979.04431	0	n
2979.19657	0	n
2979.34883	0	n
2979.50108	0	n
2979.65334	0	n
2979.8056	0	n
2979.95786	0	n
2980.11012	0	n
2980.26238	0	n
